,X,Y,date,I_131_(Bq/m3),Cs_134_(Bq/m3),Cs_137_(Bq/m3)
0,12.07,55.7,1986-04-27,2.0,0.0,0.48
1,12.07,55.7,1986-04-28,0.0092,0.00108,0.00196
2,12.07,55.7,1986-04-29,0.030619999999999998,0.0086,0.01498
3,12.07,55.7,1986-04-30,0.0015,0.0002,0.00056
4,12.07,55.7,1986-05-01,0.00106,0.0,0.0004
5,12.07,55.7,1986-05-02,0.0352,0.0,0.00044
6,12.07,55.7,1986-05-03,0.4478,0.00424,0.00712
7,12.07,55.7,1986-05-04,1.348606,0.057084,0.093332
8,12.07,55.7,1986-05-05,1.284,0.0285,0.045700000000000005
9,12.07,55.7,1986-05-06,0.996,0.0224,0.0376
10,12.07,55.7,1986-05-07,0.992,0.1648,0.3088
11,12.07,55.7,1986-05-08,0.37647549999999996,0.063791,0.11941225
12,12.07,55.7,1986-05-09,0.25695099999999993,0.045182,0.08442449999999999
13,12.07,55.7,1986-05-10,0.1374264999999999,0.026573,0.049436749999999974
14,12.07,55.7,1986-05-11,0.035804,0.015928,0.028898
15,12.07,55.7,1986-05-12,0.011100500000000001,0.004214000000000001,0.007594
16,12.07,55.7,1986-05-13,0.008598,0.000928,0.001478
17,12.07,55.7,1986-05-14,0.016504,0.002472,0.004544
18,12.07,55.7,1986-05-15,0.00649,0.000974,0.001762
19,12.07,55.7,1986-05-16,0.00301,0.000338,0.000584
20,12.07,55.7,1986-05-17,0.005544,0.000902,0.001566
21,12.07,55.7,1986-05-18,0.003328,0.000776,0.00149
22,12.07,55.7,1986-05-19,0.004496,0.002734,0.004842
23,12.07,55.7,1986-05-20,0.005014,0.002878,0.005198
24,12.07,55.7,1986-05-21,0.004014,0.001566,0.002646
25,12.07,55.7,1986-05-22,0.00562,0.002044,0.003546
26,12.07,55.7,1986-05-23,0.0024749999999999998,0.0010883333333333333,0.0019403333333333334
27,12.07,55.7,1986-05-24,0.0021399999999999995,0.0011546666666666667,0.0021076666666666665
28,12.07,55.7,1986-05-25,0.00361,0.002442,0.00455
29,12.07,55.7,1986-05-26,0.002058,0.001498,0.0026
30,12.07,55.7,1986-05-27,0.001034,0.00063,0.001188
31,12.07,55.7,1986-05-28,0.000964,0.000392,0.00066
32,12.07,55.7,1986-05-29,0.001066,0.000292,0.00066
33,12.07,55.7,1986-05-30,0.0002665,7.3e-05,0.000165
34,12.07,55.7,1986-05-31,0.0,0.0,0.0
35,6.1,50.76,1986-04-27,0.0,0.0,0.0
36,6.1,50.76,1986-04-28,0.0,0.0175,0.09866666666666667
37,6.1,50.76,1986-04-29,0.0,0.035,0.19733333333333333
38,6.1,50.76,1986-04-30,0.0,0.052500000000000005,0.296
39,6.1,50.76,1986-05-01,0.0,0.14,0.39466666666666667
40,6.1,50.76,1986-05-02,3.81,10.704000000000002,0.49333333333333335
41,6.1,50.76,1986-05-03,4.514,2.444,0.592
42,6.1,50.76,1986-05-04,1.368,0.46,0.6906666666666667
43,6.1,50.76,1986-05-05,0.148,0.04,0.7893333333333333
44,6.1,50.76,1986-05-06,0.108,0.104,0.888
45,6.1,50.76,1986-05-07,0.08,0.0442,0.9866666666666667
46,6.1,50.76,1986-05-08,0.017,0.0024,1.0853333333333333
47,6.1,50.76,1986-05-09,0.0134,0.015,2.368
48,6.1,50.76,1986-05-10,0.0104,0.0014,1.2025000000000001
49,6.1,50.76,1986-05-11,0.0126,0.0014,2.442
50,6.1,50.76,1986-05-12,0.012,0.004,0.8160000000000001
51,6.1,50.76,1986-05-13,0.0,0.002,0.822
52,6.1,50.76,1986-05-14,0.0004833333333333333,0.00097,0.38816666666666666
53,6.1,50.76,1986-05-15,0.0009666666666666666,0.0009400000000000001,0.36533333333333334
