,X,Y,date,Cs_137_(Bq/m3)
0,12.07,55.7,1986-04-27,0.24
1,12.07,55.7,1986-04-28,0.00098
2,12.07,55.7,1986-04-29,0.0074
3,12.07,55.7,1986-04-30,0.00028
4,12.07,55.7,1986-05-01,0.0002
5,12.07,55.7,1986-05-02,0.00022
6,12.07,55.7,1986-05-03,0.00356
7,12.07,55.7,1986-05-04,0.023966
8,12.07,55.7,1986-05-05,0.01544
9,12.07,55.7,1986-05-06,0.0124
10,12.07,55.7,1986-05-07,0.1544
11,12.07,55.7,1986-05-08,0.11941225
12,12.07,55.7,1986-05-09,0.08442449999999999
13,12.07,55.7,1986-05-10,0.049436749999999974
14,12.07,55.7,1986-05-11,0.014449
15,12.07,55.7,1986-05-12,0.007594
16,12.07,55.7,1986-05-13,0.000739
17,12.07,55.7,1986-05-14,0.002272
18,12.07,55.7,1986-05-15,0.000881
19,12.07,55.7,1986-05-16,0.000292
20,12.07,55.7,1986-05-17,0.000783
21,12.07,55.7,1986-05-18,0.000745
22,12.07,55.7,1986-05-19,0.002421
23,12.07,55.7,1986-05-20,0.002599
24,12.07,55.7,1986-05-21,0.001323
25,12.07,55.7,1986-05-22,0.001773
26,12.07,55.7,1986-05-23,0.0019403333333333334
27,12.07,55.7,1986-05-24,0.0021076666666666665
28,12.07,55.7,1986-05-25,0.002275
29,12.07,55.7,1986-05-26,0.0013
30,12.07,55.7,1986-05-27,0.000594
31,12.07,55.7,1986-05-28,0.00033
32,12.07,55.7,1986-05-29,0.00033
33,12.07,55.7,1986-05-30,0.000165
34,12.07,55.7,1986-05-31,0.0
35,6.1,50.76,1986-04-27,0.0
36,6.1,50.76,1986-04-28,0.09866666666666667
37,6.1,50.76,1986-04-29,0.19733333333333333
38,6.1,50.76,1986-04-30,0.296
39,6.1,50.76,1986-05-01,0.39466666666666667
40,6.1,50.76,1986-05-02,0.49333333333333335
41,6.1,50.76,1986-05-03,0.592
42,6.1,50.76,1986-05-04,0.6906666666666667
43,6.1,50.76,1986-05-05,0.7893333333333333
44,6.1,50.76,1986-05-06,0.888
45,6.1,50.76,1986-05-07,0.9866666666666667
46,6.1,50.76,1986-05-08,1.0853333333333333
47,6.1,50.76,1986-05-09,1.184
48,6.1,50.76,1986-05-10,1.2025000000000001
49,6.1,50.76,1986-05-11,1.221
50,6.1,50.76,1986-05-12,0.8160000000000001
51,6.1,50.76,1986-05-13,0.411
52,6.1,50.76,1986-05-14,0.38816666666666666
53,6.1,50.76,1986-05-15,0.36533333333333334
54,6.1,50.76,1986-05-16,0.3425
55,6.1,50.76,1986-05-17,0.3196666666666667
56,6.1,50.76,1986-05-18,0.2968333333333334
57,6.1,50.76,1986-05-19,0.2740000000000001
58,6.1,50.76,1986-05-20,0.25116666666666676
59,6.1,50.76,1986-05-21,0.22833333333333344
60,6.1,50.76,1986-05-22,0.20550000000000013
61,6.1,50.76,1986-05-23,0.1826666666666668
62,6.1,50.76,1986-05-24,0.1598333333333335
63,6.1,50.76,1986-05-25,0.13700000000000018
64,6.1,50.76,1986-05-26,0.11416666666666686
65,6.1,50.76,1986-05-27,0.09133333333333354
66,6.1,50.76,1986-05-28,0.06850000000000023
67,6.1,50.76,1986-05-29,0.04566666666666691
68,6.1,50.76,1986-05-30,0.022833333333333594
69,6.1,50.76,1986-05-31,0.0
70,10.59,49.3,1986-04-27,0.0
71,10.59,49.3,1986-04-28,0.28
72,10.59,49.3,1986-04-29,0.56
73,10.59,49.3,1986-04-30,2.9
74,10.59,49.3,1986-05-01,3.014
75,10.59,49.3,1986-05-02,2.17
76,10.59,49.3,1986-05-03,0.96
77,10.59,49.3,1986-05-04,0.263
78,10.59,49.3,1986-05-05,0.625
79,10.59,49.3,1986-05-06,0.11
80,10.59,49.3,1986-05-07,0.022
81,10.59,49.3,1986-05-08,0.021083333333333332
82,10.59,49.3,1986-05-09,0.020166666666666666
83,10.59,49.3,1986-05-10,0.01925
84,10.59,49.3,1986-05-11,0.018333333333333333
85,10.59,49.3,1986-05-12,0.017416666666666667
86,10.59,49.3,1986-05-13,0.0165
87,10.59,49.3,1986-05-14,0.015583333333333334
88,10.59,49.3,1986-05-15,0.014666666666666668
89,10.59,49.3,1986-05-16,0.013750000000000002
90,10.59,49.3,1986-05-17,0.012833333333333335
91,10.59,49.3,1986-05-18,0.01191666666666667
92,10.59,49.3,1986-05-19,0.011000000000000003
93,10.59,49.3,1986-05-20,0.010083333333333337
94,10.59,49.3,1986-05-21,0.00916666666666667
95,10.59,49.3,1986-05-22,0.008250000000000004
96,10.59,49.3,1986-05-23,0.0073333333333333375
97,10.59,49.3,1986-05-24,0.006416666666666671
98,10.59,49.3,1986-05-25,0.005500000000000005
99,10.59,49.3,1986-05-26,0.0045833333333333386
100,10.59,49.3,1986-05-27,0.0036666666666666722
101,10.59,49.3,1986-05-28,0.002750000000000006
102,10.59,49.3,1986-05-29,0.0018333333333333396
103,10.59,49.3,1986-05-30,0.0009166666666666733
104,10.59,49.3,1986-05-31,0.0
105,13.42,52.5,1986-04-27,0.0
106,13.42,52.5,1986-04-28,0.0006
107,13.42,52.5,1986-04-29,0.0012
108,13.42,52.5,1986-04-30,0.0006
109,13.42,52.5,1986-05-01,0.0
110,13.42,52.5,1986-05-02,0.0013
111,13.42,52.5,1986-05-03,0.0026
112,13.42,52.5,1986-05-04,0.0020499999999999997
113,13.42,52.5,1986-05-05,0.0015
114,13.42,52.5,1986-05-06,0.00152
115,13.42,52.5,1986-05-07,0.00154
116,13.42,52.5,1986-05-08,0.00077
117,13.42,52.5,1986-05-09,0.0
118,13.42,52.5,1986-05-10,0.07
119,13.42,52.5,1986-05-11,0.14
120,13.42,52.5,1986-05-12,0.3725
121,13.42,52.5,1986-05-13,0.605
122,13.42,52.5,1986-05-14,0.8375
123,13.42,52.5,1986-05-15,1.0699999999999998
124,13.42,52.5,1986-05-16,1.3024999999999998
125,13.42,52.5,1986-05-17,1.5350000000000001
126,13.42,52.5,1986-05-18,1.7675
127,13.42,52.5,1986-05-19,2.0
