,X,Y,date,I_131_(Bq/m3)
0,12.07,55.7,1986-04-27,1.0
1,12.07,55.7,1986-04-28,0.0046
2,12.07,55.7,1986-04-29,0.0147
3,12.07,55.7,1986-04-30,0.00075
4,12.07,55.7,1986-05-01,0.00053
5,12.07,55.7,1986-05-02,0.0176
6,12.07,55.7,1986-05-03,0.2239
7,12.07,55.7,1986-05-04,0.41
8,12.07,55.7,1986-05-05,0.362
9,12.07,55.7,1986-05-06,0.334
10,12.07,55.7,1986-05-07,0.496
11,12.07,55.7,1986-05-08,0.37647549999999996
12,12.07,55.7,1986-05-09,0.25695099999999993
13,12.07,55.7,1986-05-10,0.1374264999999999
14,12.07,55.7,1986-05-11,0.017902
15,12.07,55.7,1986-05-12,0.011100500000000001
16,12.07,55.7,1986-05-13,0.004299
17,12.07,55.7,1986-05-14,0.008252
18,12.07,55.7,1986-05-15,0.003245
19,12.07,55.7,1986-05-16,0.001505
20,12.07,55.7,1986-05-17,0.002772
21,12.07,55.7,1986-05-18,0.001664
22,12.07,55.7,1986-05-19,0.002248
23,12.07,55.7,1986-05-20,0.002507
24,12.07,55.7,1986-05-21,0.002007
25,12.07,55.7,1986-05-22,0.00281
26,12.07,55.7,1986-05-23,0.0024749999999999998
27,12.07,55.7,1986-05-24,0.0021399999999999995
28,12.07,55.7,1986-05-25,0.001805
29,12.07,55.7,1986-05-26,0.001029
30,12.07,55.7,1986-05-27,0.000517
31,12.07,55.7,1986-05-28,0.000482
32,12.07,55.7,1986-05-29,0.000533
33,12.07,55.7,1986-05-30,0.0002665
34,12.07,55.7,1986-05-31,0.0
35,6.1,50.76,1986-04-27,0.0
36,6.1,50.76,1986-04-28,0.0
37,6.1,50.76,1986-04-29,0.0
38,6.1,50.76,1986-04-30,0.0
39,6.1,50.76,1986-05-01,0.0
40,6.1,50.76,1986-05-02,1.905
41,6.1,50.76,1986-05-03,2.257
42,6.1,50.76,1986-05-04,0.684
43,6.1,50.76,1986-05-05,0.074
44,6.1,50.76,1986-05-06,0.054
45,6.1,50.76,1986-05-07,0.04
46,6.1,50.76,1986-05-08,0.0085
47,6.1,50.76,1986-05-09,0.0067
48,6.1,50.76,1986-05-10,0.0052
49,6.1,50.76,1986-05-11,0.0063
50,6.1,50.76,1986-05-12,0.006
51,6.1,50.76,1986-05-13,0.0
52,6.1,50.76,1986-05-14,0.0004833333333333333
53,6.1,50.76,1986-05-15,0.0009666666666666666
54,6.1,50.76,1986-05-16,0.00145
55,6.1,50.76,1986-05-17,0.0019333333333333331
56,6.1,50.76,1986-05-18,0.0024166666666666664
57,6.1,50.76,1986-05-19,0.0029
58,6.1,50.76,1986-05-20,0.0027285714285714283
59,6.1,50.76,1986-05-21,0.002557142857142857
60,6.1,50.76,1986-05-22,0.0023857142857142853
61,6.1,50.76,1986-05-23,0.0022142857142857138
62,6.1,50.76,1986-05-24,0.0020428571428571423
63,6.1,50.76,1986-05-25,0.0018714285714285708
64,6.1,50.76,1986-05-26,0.0017
65,6.1,50.76,1986-05-27,0.0013599999999999999
66,6.1,50.76,1986-05-28,0.0010199999999999999
67,6.1,50.76,1986-05-29,0.0006799999999999998
68,6.1,50.76,1986-05-30,0.0003399999999999998
69,6.1,50.76,1986-05-31,0.0
70,10.59,49.3,1986-04-27,0.0
71,10.59,49.3,1986-04-28,0.345
72,10.59,49.3,1986-04-29,0.69
73,10.59,49.3,1986-04-30,5.8
74,10.59,49.3,1986-05-01,5.626
75,10.59,49.3,1986-05-02,2.9
76,10.59,49.3,1986-05-03,1.4
77,10.59,49.3,1986-05-04,0.367
78,10.59,49.3,1986-05-05,0.622
79,10.59,49.3,1986-05-06,0.148
80,10.59,49.3,1986-05-07,0.038
81,10.59,49.3,1986-05-08,0.03641666666666667
82,10.59,49.3,1986-05-09,0.034833333333333334
83,10.59,49.3,1986-05-10,0.03325
84,10.59,49.3,1986-05-11,0.03166666666666667
85,10.59,49.3,1986-05-12,0.030083333333333337
86,10.59,49.3,1986-05-13,0.028500000000000004
87,10.59,49.3,1986-05-14,0.026916666666666672
88,10.59,49.3,1986-05-15,0.02533333333333334
89,10.59,49.3,1986-05-16,0.023750000000000007
90,10.59,49.3,1986-05-17,0.022166666666666675
91,10.59,49.3,1986-05-18,0.020583333333333342
92,10.59,49.3,1986-05-19,0.01900000000000001
93,10.59,49.3,1986-05-20,0.017416666666666678
94,10.59,49.3,1986-05-21,0.015833333333333345
95,10.59,49.3,1986-05-22,0.014250000000000013
96,10.59,49.3,1986-05-23,0.01266666666666668
97,10.59,49.3,1986-05-24,0.011083333333333348
98,10.59,49.3,1986-05-25,0.009500000000000015
99,10.59,49.3,1986-05-26,0.007916666666666683
100,10.59,49.3,1986-05-27,0.0063333333333333505
101,10.59,49.3,1986-05-28,0.004750000000000018
102,10.59,49.3,1986-05-29,0.0031666666666666857
103,10.59,49.3,1986-05-30,0.0015833333333333532
104,10.59,49.3,1986-05-31,0.0
105,13.42,52.5,1986-04-27,0.0
106,13.42,52.5,1986-04-28,0.044
107,13.42,52.5,1986-04-29,0.088
108,13.42,52.5,1986-04-30,2.64
109,13.42,52.5,1986-05-01,0.85
110,13.42,52.5,1986-05-02,0.09
111,13.42,52.5,1986-05-03,0.215
112,13.42,52.5,1986-05-04,0.814
113,13.42,52.5,1986-05-05,0.533
114,13.42,52.5,1986-05-06,0.451
115,13.42,52.5,1986-05-07,0.728
116,13.42,52.5,1986-05-08,0.26
117,13.42,52.5,1986-05-09,0.012
118,13.42,52.5,1986-05-10,0.01
119,13.42,52.5,1986-05-11,0.0063
120,13.42,52.5,1986-05-12,0.0053
121,13.42,52.5,1986-05-13,0.0056
122,13.42,52.5,1986-05-14,0.0059
123,13.42,52.5,1986-05-15,0.0062
124,13.42,52.5,1986-05-16,0.0065
125,13.42,52.5,1986-05-17,0.0068
126,13.42,52.5,1986-05-18,0.0070999999999999995
127,13.42,52.5,1986-05-19,0.0074
128,13.42,52.5,1986-05-20,0.006514285714285715
129,13.42,52.5,1986-05-21,0.005628571428571429
130,13.42,52.5,1986-05-22,0.004742857142857143
131,13.42,52.5,1986-05-23,0.0038571428571428576
132,13.42,52.5,1986-05-24,0.002971428571428572
133,13.42,52.5,1986-05-25,0.0020857142857142862
134,13.42,52.5,1986-05-26,0.0012
135,13.42,52.5,1986-05-27,0.0009599999999999999
136,13.42,52.5,1986-05-28,0.0007199999999999999
137,13.42,52.5,1986-05-29,0.00047999999999999996
138,13.42,52.5,1986-05-30,0.00023999999999999998
139,13.42,52.5,1986-05-31,0.0
140,12.78,49.2,1986-04-27,0.0
141,12.78,49.2,1986-04-28,1.1
142,12.78,49.2,1986-04-29,2.2
143,12.78,49.2,1986-04-30,19.65
144,12.78,49.2,1986-05-01,15.6
145,12.78,49.2,1986-05-02,1.38
146,12.78,49.2,1986-05-03,1.31
147,12.78,49.2,1986-05-04,1.25
148,12.78,49.2,1986-05-05,0.77
149,12.78,49.2,1986-05-06,0.49
150,12.78,49.2,1986-05-07,0.5
151,12.78,49.2,1986-05-08,0.025
152,12.78,49.2,1986-05-09,0.02391304347826087
153,12.78,49.2,1986-05-10,0.02282608695652174
154,12.78,49.2,1986-05-11,0.021739130434782608
155,12.78,49.2,1986-05-12,0.020652173913043477
156,12.78,49.2,1986-05-13,0.019565217391304346
157,12.78,49.2,1986-05-14,0.018478260869565215
158,12.78,49.2,1986-05-15,0.017391304347826084
159,12.78,49.2,1986-05-16,0.016304347826086953
160,12.78,49.2,1986-05-17,0.015217391304347822
161,12.78,49.2,1986-05-18,0.01413043478260869
162,12.78,49.2,1986-05-19,0.01304347826086956
163,12.78,49.2,1986-05-20,0.011956521739130428
164,12.78,49.2,1986-05-21,0.010869565217391297
165,12.78,49.2,1986-05-22,0.009782608695652166
166,12.78,49.2,1986-05-23,0.008695652173913035
167,12.78,49.2,1986-05-24,0.007608695652173904
168,12.78,49.2,1986-05-25,0.006521739130434773
169,12.78,49.2,1986-05-26,0.005434782608695642
170,12.78,49.2,1986-05-27,0.0043478260869565105
171,12.78,49.2,1986-05-28,0.0032608695652173794
